"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"1",1,2860.60676980366,3036.45835738484,3352.95404562218,3310.59004278692,3030.10098756579,3004.48118455824,3100.02094125975,3603.58183321024,3924.50687602176,3915.55413722718,3930.98449681774,3242.38971699301,2691.08148230253,2627.6763752847,2723.47209365478,3708.54892117039,3505.18739517778,4195.83041061073,3024.39940889886,2843.23531238972,2815.60644228088,2695.2769688015,2948.10619339653,3539.67421224875,3549.12436697657,3522.71706202702,NA,"Consumer Discretionary: Automobiles & Components"
"2",2,3139.788909602,2993.16468443865,2707.89828380046,3268.78089065879,4000.82144380021,3415.7142371495,3820.62112458193,4198.76869015049,4035.50860397385,2405.68926873937,1712.42404754929,1883.85039673204,1912.29452898324,2051.37574242386,3022.71587416284,3087.89246595935,2985.5948028443,2703.36510238494,2616.551773295,2089.17575164725,1975.21932062579,1831.01595063536,1687.5349700702,2015.68867211868,1945.94522642774,2497.8034513939,8371.57622207335,"Consumer Discretionary: Consumer Durables & Apparel"
"3",3,5927.64300081302,5652.55330656519,5020.76585739663,4836.83628012945,4360.81217145916,3963.24800943371,2497.4474419335,2411.69525213546,2265.41352544271,1915.16010976562,3842.63015405028,2442.74828796908,2253.33803085373,2474.72743654862,3005.42315293073,2909.33540513459,3128.22732275378,2082.46909074873,1925.43984071889,1765.40202311649,1470.82959136742,1234.38362152783,1230.76290384776,1137.35146381922,989.880923991041,934.628344949067,5441.34094308599,"Consumer Discretionary: Consumer Services"
"4",4,7660.99115122056,7785.71074722602,7045.78036579664,7094.13048573037,6797.73300569215,6192.32623318141,5762.96427728843,6068.90142943277,6221.24509036959,5564.47965539087,5879.80032968729,6366.00676468075,5848.63255699008,6504.64277307412,5637.6127202132,5028.81231536952,4890.5297367078,3974.57075671785,4298.96901685686,5508.39483506609,5508.13673371439,4943.80285637678,5334.60529997293,3719.85209899832,2271.51597397653,2591.39189632104,NA,"Consumer Discretionary: Media"
"5",5,1973.28846640169,1843.94997385239,1717.05762193882,1334.00893780075,1100.82975848636,1150.73498630567,1430.62813269222,1078.27353111046,983.521031645827,814.359347511303,851.392300224612,986.765709687789,1081.38278889546,946.643415319882,1053.06441194255,1085.3795665791,1111.23081752648,1095.23123529603,1138.86350278938,1006.74164808663,1002.03995611017,983.512650458868,936.537331391781,815.841329241342,808.214267741512,785.860898195929,9359.3242137805,"Consumer Discretionary: Retailing"
"6",6,6901.86115373617,6847.87369883909,4221.74777180645,4185.0672301489,3479.47528372097,3042.90894574403,2840.64349300789,2738.69236063341,2768.27891843656,2726.16084703198,2200.82454380708,2088.19880915262,2005.75050791447,2027.98084612768,2028.53358415782,1998.65932816509,2229.22538776453,2246.94870640453,4059.15062758725,4466.27296649581,4631.43659278639,4918.78421403823,4921.60366760314,4908.47219983598,4697.80562592398,4735.14460267117,10000,"Consumer Staples: Food & Staples Retailing"
"7",7,2781.0947782735,4915.32069317344,5848.81410699827,5747.97190273437,5500.31475822974,5407.25185805957,5265.63033831654,4429.72544749362,3974.60407067596,5135.05629802154,6052.66673769083,6211.24684584287,5496.17010908129,5397.90402660574,5373.99592190678,5432.98582466314,5790.74847208455,1502.68928638291,1356.84562146488,1630.20412618684,1221.36955673764,1255.75029620753,1863.82638708046,1546.24168665343,1416.19730126735,1336.40398789037,5921.27547490574,"Consumer Staples: Food, Beverage & Tobacco"
"8",8,10000,10000,10000,10000,8339.70215725308,6008.50950736778,5813.73591610879,5536.50396280739,5410.39990847819,4722.35892947264,4650.25903483355,3398.03177356884,3610.0168476412,5421.09865827933,5398.43056554062,5257.77075749738,5260.3266139708,5149.84767820626,4890.30343322804,4909.31055698553,4681.17038895927,4876.88158781587,4820.8411829762,5521.64277625569,5419.20690226206,3467.80181150859,NA,"Consumer Staples: Household & Personal Products"
"9",9,1769.192806182,1806.80552393518,1695.40665097839,1622.4308382955,1574.48469281241,1580.34381402479,1396.27311055013,1319.7899921703,1176.77514386258,1045.26890666492,1110.62733041558,1042.46591831106,1115.96175036343,1050.69577097539,1028.40752625859,1055.13283418915,990.304947572459,988.329953807447,921.255924906622,1121.52323385987,1111.20130143557,1250.16944135653,1130.12485720015,1093.76993547889,1227.6203696908,1321.5050799006,8606.84456851552,"Energy"
"10",10,3067.19322402039,2213.81238978518,2192.06943147359,2155.58013912509,2208.30169466614,2211.37111725106,2127.02453435776,2176.96897621614,2270.653160714,2236.58687729903,2333.48417943681,2318.85250885179,2289.0934000027,2334.95271356524,2247.16567639106,2201.28785199739,2126.69504982354,2069.49485306978,2088.78934903568,2345.95247627362,2329.82932047224,2335.94859361575,2330.98039880491,2328.72213563218,2328.27136835323,2332.68208844425,NA,"Financials: Banks"
"11",11,4486.23081918374,5701.37568901831,4285.7684809782,4093.21204850366,3581.92625754075,3977.14426093718,3677.6601562256,6744.88827328532,6396.78903133397,7089.44009042579,6711.41878867878,6343.02038539739,6037.5714116329,2831.10851152629,2641.83835204257,3183.84957945705,2818.32201802434,2479.38442303016,3101.44683293417,3158.71462420604,3426.29403332185,3493.71502116196,3511.55915767883,3453.21607705157,3312.61309868739,2556.67738469353,5090.98358411653,"Financials: Diversified Financials"
"12",12,4764.85534575854,4799.94664959779,4811.42684153522,4673.07516688339,4737.81505777327,4649.02899662024,4646.20461306289,4372.16967078281,2779.06860255116,2513.01282573463,2443.61069542814,2155.54494450595,2273.71066399409,2187.97865160623,2223.10619615808,2257.90057537769,2258.09281557949,2963.9203944651,3144.22945278964,3285.2416065405,3168.0305811845,4100.61272317458,3975.84427793655,3939.54514945205,3629.46316626949,3539.32348707397,NA,"Financials: Insurance"
"13",13,1106.14100906182,1187.82830134904,1092.43697562453,1107.15892594904,827.175963566829,811.102271129911,709.874739991677,643.928380528315,645.573829518464,571.874416469313,691.841698054676,615.076880812951,693.730560403662,597.21060674232,983.70162327555,1069.50462411254,926.670616785504,764.827639125697,832.322956331206,886.348458331188,767.256153027647,754.019495109974,799.347354502474,790.258479547757,794.048645070824,796.601215072705,7327.99249126251,"Financials: Real Estate"
"14",14,5699.98075766655,5799.66001835449,5861.92355310089,5741.9446266691,5606.2754550678,5231.01273221357,4726.59187987518,3993.72553697474,3382.80536372539,2582.67752353272,1985.01946270847,1420.71799441565,1741.46612968407,1412.81149471355,1181.11380277122,1114.25187826118,863.326604348877,931.491336037145,1110.06574986071,1089.94875204202,1053.76081074497,1392.93026053178,1405.36883458948,1137.15606328202,921.96262656658,896.479488683739,4539.67979089215,"Health Care: Health Care Equipment & Services"
"15",15,3455.20668697463,2915.94455860369,1706.69633298937,1793.81324639882,2022.53548621322,1747.80598834311,1666.52407980173,1431.34473840057,1543.22526230792,1597.63204943944,1675.03814045095,3041.17670539342,4234.31173116569,4940.27321432822,5382.60474644179,3333.16038749123,3140.26203307071,3799.32465027145,4784.66266531835,6520.05413529753,5643.86028043182,5071.04961230103,5484.94112091989,5460.30594695114,5155.30788674723,5305.63168475235,8547.83923109326,"Health Care: Pharmaceuticals, Biotechnology & Life Sciences"
"16",16,970.228803011569,1045.8026058959,1178.89553733023,1157.90826025647,1004.68071844405,892.775558106195,884.431137055928,832.8897865484,735.400233363087,642.327701907996,597.457983827825,752.657588847468,738.731262877859,797.920594272111,995.069725149767,776.986038814875,712.519568621263,620.478030228035,618.281648932425,671.55757823404,754.189033650637,840.623464086552,911.450345036248,1026.70501242491,1149.92247180002,1050.49748621679,10000,"Industrials: Capital Goods"
"17",17,3819.21214241903,3975.39157730998,3656.54660334438,3654.55306386523,3067.94603273642,3011.06213513689,2602.27272632487,2533.95414775726,2144.15720801642,1779.04328715824,1832.69756253745,1713.22655424558,3100.24308842829,3042.45599088999,2733.369772764,2237.82664198972,2085.99238544178,1214.2495006416,1059.7317883921,1052.57897013669,930.628050650333,1001.24172780525,1052.63773778104,941.022500907997,876.817452625972,993.460875489414,4717.03754381095,"Industrials: Commercial & Professional Services"
"18",18,9839.89680550345,9848.20014300771,9610.75634221005,9581.16674812326,5048.13952285393,4992.88452423474,4461.82322619457,4352.94780906692,3567.82374323141,2975.04551455275,2364.89393422553,2013.59490727893,1810.6920724512,1808.88460434795,1634.38518791154,1654.7027975546,1569.2245794378,1688.12566218708,1278.03712466798,1101.58686590306,1162.74371619375,1214.01822244821,1237.46882203595,1292.73794312785,1185.1451739961,1371.22687500413,NA,"Industrials: Transportation"
"19",19,8991.82188759876,9086.10422300368,8646.73837853358,8514.94213832647,7506.03862019495,7327.72035283685,6569.47045759858,621.495779373575,601.037698788493,408.258280088624,479.238816446427,569.644090804601,782.349175627008,749.474233351994,1365.12589928424,1499.43895720743,2141.38311615505,1273.64651470155,1591.84937605877,2041.88859478997,1864.12906085405,1563.26882916325,2233.17698627066,2148.3016005,1327.53286426289,1322.83083120868,4374.65019070658,"Information Technology: Software & Services"
