"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"1",1,5748.94739665186,5824.10367112953,5059.60718597915,5062.96120442519,4742.12962416739,4214.54557820571,3699.38020752616,4018.01345950053,4237.38263234029,3819.03853177317,3961.50935159332,4373.40741025026,3750.81001940764,4470.40330206538,3233.67469679092,2718.13131393528,2632.82185951993,1869.48997161702,1961.54020956832,2281.17664914162,2116.66278893792,1882.37930760539,1871.79589541863,1509.0716320995,499.333953077877,503.575280019579,3150.41938131383,"Consumer Discretionary"
"2",2,2015.08833492456,4127.7653856937,4854.11361086455,4750.47449574921,4279.11340416122,4205.35836926315,3946.86819571645,3239.23339454582,2949.34938030245,3993.91703206116,4845.96409871074,5030.83785075653,4291.12893307608,4039.00762614333,3953.27308069975,3976.43322894171,4185.36016328579,915.304991800883,1368.73702996993,1838.83768103143,1835.32186986176,2367.58728939942,2350.8444272104,2797.38573940907,2683.07520503698,2572.87474692713,4810.11501631111,"Consumer Staples"
"3",3,1769.192806182,1806.80552393518,1695.40665097839,1622.4308382955,1574.48469281241,1580.34381402479,1396.27311055013,1319.7899921703,1176.77514386258,1045.26890666492,1110.62733041558,1042.46591831106,1115.96175036343,1050.69577097539,1028.40752625859,1055.13283418915,990.304947572459,988.329953807447,921.255924906622,1121.52323385987,1111.20130143557,1250.16944135653,1130.12485720015,1093.76993547889,1227.6203696908,1321.5050799006,8606.84456851552,"Energy"
"4",4,2563.44328537344,1917.71232134227,1888.15582689442,1842.73001613071,1846.56596597056,1781.13425592331,1784.73042593886,1453.0600100469,1434.15262732122,1384.74526381434,1410.48063580589,1380.06710519761,1347.78939854008,1325.17989436334,1277.18700313186,1292.5153124655,1185.23515128493,1137.8969873614,1225.09814737916,1460.95360105622,1515.49256805543,1557.40654808883,1581.18490299226,1589.83433502715,1609.73596655417,1511.62669886459,5087.80305250178,"Financials"
"5",5,4689.66487917171,5097.63973064327,5376.74418860512,4955.98738527683,4544.1184166819,4153.15604218961,3629.53665912022,2962.39759235959,2540.25082440207,1979.89958840226,1430.91763042242,1034.27267702112,1287.74777820532,1110.68120858655,1013.42188298762,842.292756323637,706.394794475587,776.065329687088,909.536799989564,1060.80538675498,922.224002716052,1104.46498124813,1152.08425350645,969.7156820628,811.776743299846,794.755339766055,4264.92753485155,"Health Care"
"6",6,4142.52293639382,4359.32048497785,3518.75455828897,3642.37034291866,2409.37024715028,2342.7558852535,1946.56307015515,1892.82187592282,1441.95528983337,1096.88918126625,810.510854812361,760.77279156863,790.625285595658,822.345361402966,739.742781898366,710.598211129504,733.812438745732,692.275739251564,506.918633774592,457.023838966113,450.043476236633,456.476332449819,457.040632449386,455.942154828882,448.07863231891,519.169896094797,4259.28100109192,"Industrials"
"7",7,7972.75157475478,8090.81870453595,7370.00708915472,6748.45784214734,5156.8752841489,5074.69478486358,4290.79849458163,668.480237743207,524.484488810349,371.834629103599,378.07641236337,426.385387019388,501.376765453431,449.787661370597,757.705490835255,800.870522461056,1122.88401688084,755.846171900817,975.762871775928,1338.22860686523,1283.03531880334,1078.42187433265,1574.39269254458,1579.00148679193,1060.01548883479,1084.57005505428,4374.65019070658,"Information Technology"
"8",8,1116.29942179553,1118.62199688979,1114.74228643504,1143.17783928666,1082.49452356748,1162.4288905601,1157.42449429497,899.308213419194,885.565758965792,645.497117747838,1012.4882237308,979.973599975018,1000.48709350857,903.327755896038,874.690650673068,1108.73649326261,996.696048123415,1423.53017237691,1378.17370216203,1486.80177937656,1509.30517009944,1389.53166470776,1465.80812092253,1662.17753902281,1632.61139266997,1573.71773936218,3578.40296335204,"Materials"
"9",9,2984.93596041199,3415.19102784965,9406.83680447443,5103.18303188834,7388.21779536139,7629.53352983611,7437.82072554642,7717.50822522101,7335.81814349433,4501.29506243949,4931.4071826118,3805.14823134916,3799.06580880746,3878.44322120129,3753.06245096672,3798.40009509591,3951.64865388754,3813.28859532423,3899.4580817794,4046.69538138178,4004.56040378849,3830.88371429707,3964.38137329009,3851.47529783141,3753.53980196982,3813.48652678193,10000,"Telecommunications"
"10",10,4793.74245329305,4693.11805553625,4651.44058974414,4464.84165333635,4537.61458473814,4200.68499046597,4079.88311934271,2870.81390021681,2058.925818376,1672.3534545621,1739.11276865309,1558.13161548816,1802.55718388822,2098.23833747902,1543.81157321147,1171.15235968432,1157.61510811112,1240.88369547806,1006.05431871713,892.97491964039,925.160915149221,1071.3328155215,1260.64559564753,953.92470053271,962.046698126015,1102.00312659485,5522.71912997289,"Utilities"
