"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"1",1,3753.4469532344,4079.11431160828,4622.75635640162,4263.66799627241,3715.41800852,3553.91056530452,3390.04567164368,3440.23335809372,3932.17797752491,4638.16475279583,4365.30521196846,3598.6807989775,3001.04117651824,2721.61834406444,2716.81116854416,3600.53500636047,3209.31649310773,4449.13597754785,2140.1484494225,3097.11396363516,3121.02395005364,3257.52717502778,3786.14704276984,4071.00265507426,4231.15080785236,4262.462175295,NA,"Consumer Discretionary: Automobiles & Components"
"2",2,3232.41723537012,3356.80894744746,2374.42255303521,2588.57390577854,2940.43008974462,2934.70895725188,3476.76005397951,3300.09188848083,3175.65298214075,3930.23234661038,1788.28296045029,2073.43730080044,2068.59480083662,2038.6857589102,2251.19872869344,2697.23339762774,2987.09547787719,2742.39175146672,2528.16437672856,2166.30848556412,1966.73275179077,1625.57653301538,1393.56220464844,1464.34438888954,996.62189402049,1179.59071242157,7506.11984367243,"Consumer Discretionary: Consumer Durables & Apparel"
"3",3,4793.63238894236,5349.14704572098,5908.222415847,6220.50626789037,4695.2826995506,4714.80822819515,3617.05138837925,3329.66204739702,3197.33363062054,2697.55819893887,3632.53390556191,2439.79904132864,2425.72303355707,3128.26905917508,3122.43190674686,3345.26790912969,3571.92968817428,2649.55815424759,2283.09577663018,2079.8751476495,1675.70207527486,1486.07321428631,1383.23718292396,1244.94652637999,1083.88683602814,1035.69899573381,4960.70490651886,"Consumer Discretionary: Consumer Services"
"4",4,8011.7934312356,7974.39402356948,7169.93296111193,7033.12831131509,6853.32627962171,6161.2865076902,5675.00164263695,6202.99262749869,6170.86534670946,5494.10062786018,5608.32493934717,6517.06749721933,6023.20249495756,6866.33028058745,6095.35801112033,5280.62659200012,5476.16489510106,4519.33881042691,5091.9584152628,5169.22032718282,4983.21710601948,4540.2849971947,4746.78328891788,2868.80499105185,2875.77833440149,3453.63361469849,NA,"Consumer Discretionary: Media"
"5",5,1934.95918860542,1462.13425197695,1500.60788284359,1297.07447878766,1025.89409203227,1124.89043654596,1540.76256900877,1013.49347846717,1053.2081259373,859.324816334684,872.014249396016,1066.15726320968,1204.90120998651,1252.76400489863,1299.06619615439,1298.50660772066,1300.39794390328,1289.54447721081,1367.6959315427,1169.27313932092,1136.42700218936,1170.04382966518,1052.98519293089,892.793795635835,895.755222024794,846.244986087935,8878.24376902978,"Consumer Discretionary: Retailing"
"6",6,6981.24072251437,7130.83007296,4926.49245689363,4863.62400528208,3931.25392377506,3054.56627733406,2741.0255740664,2789.68769365701,2675.68432647889,2672.23501348376,2195.10645300648,2358.26431442492,2300.72880813931,2294.34910430031,2132.98995435405,1846.79085884132,2235.35466126557,2366.32458150632,4951.31790748308,5705.97301131975,5451.08040744715,5881.61200833554,5820.40757736971,5612.04087267628,5429.82185890867,5378.97989460976,10000,"Consumer Staples: Food & Staples Retailing"
"7",7,1830.96580605261,3824.45680277077,4835.67451076649,3953.72692579848,3622.64981452321,3759.55357600205,3503.29042191968,2889.96056454257,2449.38198454294,3299.9215163161,3575.06921949077,4381.36901146604,3555.2625872289,4466.04502102016,4564.14795378399,5011.21632062636,5660.62848842088,1470.07914572864,1312.00913013981,1390.68521469646,1095.31979392149,1366.1974119001,1679.46622387009,1544.66532534873,1354.69010932324,1199.74292624195,6717.41808771393,"Consumer Staples: Food, Beverage & Tobacco"
"8",8,10000,10000,10000,10000,10000,5609.41945736884,5616.92009752213,5373.91529014182,5244.39520061588,4614.60130751857,4447.78193274115,3451.12953818188,3496.86637816925,5320.47886479499,4625.39898863885,4897.90190448646,4683.6341406065,4691.20782370895,4822.02076998318,4912.14043691403,4746.81069865683,4917.28596485427,5233.9181109225,5851.70110327599,5189.73752892464,2776.03595559473,NA,"Consumer Staples: Household & Personal Products"
"9",9,1440.08804726344,1505.64717888749,1372.32431492324,1300.92048360466,1259.07757751369,1231.87388018958,1006.29101416658,1129.83092585609,857.946068767308,819.374570687332,822.566801167056,890.000901316103,985.113302024973,976.863044242478,942.954513867667,880.760532810298,793.869032593938,784.305349681976,658.201450547643,902.640380453266,915.748266974782,1025.56216536533,1061.88053203959,1120.53813590101,1221.95510517991,1312.49509516952,7604.54257977673,"Energy"
"10",10,3126.92676582487,2270.18212368025,2296.13462072825,2297.99691572472,2331.64327052179,2366.90828044336,2204.99680927523,2220.28435788258,2285.60670619679,2397.44041020735,2392.36877608668,2416.14152769253,2345.99785047023,2358.04267807685,2285.3210681465,2309.84228682297,2180.67174041689,2097.46989486591,2089.50532734061,2323.88537624724,2293.31848411373,2306.39924674033,2299.26939474682,2254.68990317807,2231.60448861864,2261.85334803543,NA,"Financials: Banks"
