"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary",5620.69583662249,5439.19779489858,4846.78591604517,4868.24403187942,4693.63341997009,4093.08357470152,3655.16870026537,3979.51040979927,4146.42965215698,3687.63388831418,3808.61910266692,4611.52741416218,3981.75290527594,4941.08128289063,3841.48144437222,2983.99554802027,2982.74399258387,2052.39034409175,2182.00189608759,2068.23181258268,1874.24776422176,1783.0124877399,1583.6659618942,1151.09990047328,743.919350378559,782.464528871984,2769.65917824669
"2","Consumer Staples",1464.72736302358,3035.33349338132,3621.6872986451,2976.80178253862,2613.23815908831,2841.94782306223,2575.44432052991,2110.28505018526,1822.60843271174,2514.92212260348,2681.15716389361,3392.19241779905,2586.33725817783,3156.36314311179,3290.47233167071,3673.16147892441,4294.70425704916,906.376937462746,1704.11055507627,2620.94979085345,2289.09175202115,2931.93235684011,2816.60715400594,3339.00141208846,3258.69778173182,2896.72518256267,4388.32750485013
"3","Energy",1440.08804726344,1505.64717888749,1372.32431492324,1300.92048360466,1259.07757751369,1231.87388018958,1006.29101416658,1129.83092585609,857.946068767308,819.374570687332,822.566801167056,890.000901316103,985.113302024973,976.863044242478,942.954513867667,880.760532810298,793.869032593938,784.305349681976,658.201450547643,902.640380453266,915.748266974782,1025.56216536533,1061.88053203959,1120.53813590101,1221.95510517991,1312.49509516952,7604.54257977673
"4","Financials",1080.99112577825,1019.75813971011,942.386708081763,944.068939338677,864.056665333378,865.326375332284,794.487036203984,692.723896366815,638.858584891268,607.250160137623,649.852383499743,631.978326319199,586.6813606884,557.171239343529,569.96558317344,572.322257881039,483.404696452276,428.450092758045,477.4363087957,672.097605894823,666.176508264862,656.147600631176,701.833800016396,704.019750724698,686.83137034746,1107.14930105484,6265.81263392556
"5","Health Care",3877.64430918828,4394.11212955674,4458.23046639119,4071.4808923264,3472.25570672774,3161.08446044613,2596.15193360105,2162.42536502648,1728.35497372594,1279.80414325333,850.833100854527,733.667398244949,1458.9625673081,1198.68260718694,989.289558769346,837.025242747815,657.772635272133,719.713062978124,861.425426424906,1296.20581902705,1047.21604031918,1160.41131253814,1144.32397531619,948.642009824973,832.054230361154,734.864944550308,4304.45453862482
"6","Industrials",3837.27843279976,4342.85243476107,3326.71997787055,3417.28547473085,2125.41973062515,1913.82369451876,1763.34736908485,1900.85740169897,1476.87410138848,1220.54106190666,655.056728942834,715.580293563824,710.672455897749,753.556472920913,733.267524096113,708.265323833187,677.899439924546,579.36556656296,473.341201720152,415.107024607774,407.136618727083,395.861295023749,409.418882523244,370.287213152916,362.997772998801,409.52347260885,4302.1532470647
"7","Information Technology",4427.40868631363,3677.45904205673,5209.62569761407,3887.27815791204,3124.31070750425,2742.88086284817,2268.9228366009,518.883511444769,589.151078691967,385.75990454365,394.35970807846,397.795320985602,572.87102622051,538.471476607073,725.954767239976,586.596143289464,867.189620052711,673.491455100339,677.582719563318,922.054894315334,928.784697408344,791.51347645462,837.32136480492,812.053930703941,703.943361676204,614.646667996743,4703.25809937389
"8","Materials",854.836588315063,815.309809823449,816.491885432708,942.425531347031,931.062619286544,1038.77531169021,966.29700101174,798.092586383664,705.260356790545,605.170446006648,938.72297773286,938.325827908407,929.132106346146,831.593895879571,832.225731362722,1002.95573282327,1042.25530865337,1039.17807727428,1002.30102687738,1333.60936673377,1456.37997890056,1228.96204613982,1356.50653726928,1625.06540267406,1684.7882203728,1722.42606384355,12065.9374965877
"9","Telecommunications",3653.3699923216,3985.75892251234,9128.51509260619,7851.22485466258,7571.49377680251,7740.31489882014,7585.35374862146,7758.54141626794,7267.73736687916,3939.76076000145,4344.61815881758,4037.29494872821,4251.59850823026,4281.46669588358,4241.96076192063,4341.28845311514,5141.5424041304,3794.92513800846,3994.53249155728,4058.1946183687,3948.27477960936,3975.52276353668,4079.3986946701,3976.35557070541,3951.83022918364,4161.27200980211,10000
"10","Utilities",4775.63727880276,4777.18855116592,4781.96594950583,4537.59666501799,4421.15721714833,4263.38751230232,4199.74783674385,3197.57196741573,2086.71370944229,2131.52645748523,1717.46926990657,1472.78923410567,1920.19686392852,2709.63505125685,2021.48524105114,1468.96682703529,1379.06717655541,1632.68214619916,1101.94528014646,1118.11745938939,1256.62356474547,1459.65448319423,1625.99278458003,1105.05018826267,1091.53470271387,1183.55862798474,5078.4393223713
