"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"1",1,4241.9974508785,4061.20296210235,3888.90359835799,4156.07324126548,4015.14166062877,3421.81926185218,4184.93821078621,4177.42105741238,3940.60636304597,3774.30463709657,4192.15943298731,3760.50833735102,2833.29159295752,2415.21508208253,2419.65346592722,3258.45106097238,3223.15554968011,4182.45860165398,3302.99243339621,2736.54731896901,3233.25474241491,3426.61133951996,3436.81368863091,4348.0869956779,4114.23748266094,4404.89645450648,NA,"Consumer Discretionary: Automobiles & Components"
"2",2,4098.12269449962,4217.69187194972,4027.73737842707,3907.35307172739,3746.72938351364,1748.86622234695,1550.30022652843,1620.46067481615,1293.09929722413,1336.38916810007,1015.00818133205,1228.66807408924,3768.24481584548,1308.37147598696,1861.39244987358,3832.5614107405,1925.03657536216,1771.67183269256,1707.17539022574,1350.46775716247,1262.27727967275,1147.66392348287,1135.11072298923,1535.34365000925,1444.28231236463,1719.594966735,7619.56768162263,"Consumer Discretionary: Consumer Durables & Apparel"
"3",3,8544.39091996466,8656.18883767273,8593.22132557963,8374.77764658445,8306.72780352415,4665.44959360244,2602.21919479232,2644.61932910046,2800.2706690928,2805.46745043918,3057.61067207966,2688.7933487615,2392.24767540997,2677.88622067215,2910.13866026067,3018.49529614882,2667.1064287412,1810.33502465667,1775.1926235514,1802.38488113336,1793.95667349934,1363.09847584556,1321.76331823117,1095.10627825307,949.489148449361,876.248716195324,7031.82917666614,"Consumer Discretionary: Consumer Services"
"4",4,6784.07711202821,7242.54189759558,6608.09561607267,6195.70628358549,6399.10963625982,5855.57746090734,5464.71188362899,5201.60162926976,5445.50875403211,5799.11625252502,5169.69139181837,5626.05389886228,6256.06678108617,6583.25926378983,4984.14461472009,4983.73297945985,5005.96597926141,5108.35331586131,5208.24832234836,6005.91562311238,6111.75288395367,5662.95247392947,5873.46671808271,5707.18135643784,2210.78808984159,2364.2929034722,NA,"Consumer Discretionary: Media"
"5",5,1308.13405561832,1120.27632801467,1084.88788029656,1139.93011231273,960.165550821217,915.825210833211,1232.936280219,990.207727876181,814.910929380138,675.318980129652,659.959995741103,687.564337755882,661.150004562225,577.992001018575,664.948286805969,603.51055524733,629.558325999862,719.334267792275,817.854911177301,750.837477366937,791.417734529259,798.441865265228,871.699426926676,864.354807418112,807.28351627602,827.314449786394,8476.48950586142,"Consumer Discretionary: Retailing"
"6",6,7890.13683122199,7972.76980731172,4420.033415644,3970.7648671102,3208.88251114351,3094.52954149927,3109.65619705501,3001.28608323112,3096.02563355312,3279.23901339358,2776.320365911,2689.84997375547,2502.72297809594,2460.11572296614,2637.24681495194,2729.44242900719,3086.41789075755,3070.41068418753,3530.50763380295,3762.99596380835,3797.31350212346,4135.83226550385,4168.16190993225,4158.58859931749,4153.16419378737,4151.95196802862,10000,"Consumer Staples: Food & Staples Retailing"
"7",7,2425.32778307257,5712.29675116449,6071.71974667283,6708.09235699717,6421.53967539177,6512.75857390646,6363.56383597567,5494.51645912239,5088.5635449782,6279.70808447701,6938.27198839469,7010.23201520118,5955.18368269266,5878.04660768093,5996.44229811818,6463.04888093262,6634.84476355372,1527.03245726297,1759.34698601663,1404.21480275371,1467.30059143415,1856.09708267925,1506.54379390853,1625.7527413538,1517.87274807943,1649.37849365419,5083.32126760721,"Consumer Staples: Food, Beverage & Tobacco"
"8",8,10000,10000,10000,10000,10000,6144.94789117811,5851.62254937381,3566.45923040851,5471.03177544912,5176.31067805338,5221.48094631307,3561.95230217169,3392.54107741776,4997.55050040963,5000.65417186077,5005.34607371495,5087.67608237957,5087.94789504064,5013.23643595471,5104.5411349461,5003.78785407297,4995.07957596238,5145.03587232332,6114.62960254331,4434.5660893199,4412.28653999971,NA,"Consumer Staples: Household & Personal Products"
"9",9,3225.14943809081,3266.17471109279,3154.45979478855,3220.88361247523,3141.98708364702,1138.71868452667,1027.20651020067,851.977965399288,1418.17802853854,1480.36237919616,1681.24258302329,2056.58242395322,2611.78752112519,2755.08167215367,3093.30086910746,2408.32884916568,2558.05791586207,2496.17705814137,2200.43110876742,1886.7500633729,2081.01503576684,2425.20131988935,2163.93753079238,2081.47228932966,1792.09287241383,1687.91614769917,9057.54810699427,"Energy"
"10",10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6978.00236528491,6186.50739628151,5492.86758026995,5969.91422393751,7603.29811339816,6942.05030804024,6419.59831171992,6480.34235861718,6135.99013284232,5241.76930991469,4816.17266992779,4972.74141435284,6674.57228539201,4368.14546963309,4478.24115656159,NA,"Financials: Banks"
