"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary",3060.23015451834,3892.24779584094,3436.0880715595,3140.6138196497,2989.88623080511,2630.60816877105,2024.19651352171,1879.30227398435,2140.9651902142,2188.0945319506,1855.72945516638,1834.2614969178,2235.52606941101,2650.61879497096,1656.65354346038,1501.48432399505,1613.28848029123,1489.87682886125,1477.43040856283,1590.19579574486,1665.41952555469,1235.4953198132,1355.95686210789,1225.72930920984,349.92262845202,359.958844526761,3891.09637754532
"2","Consumer Staples",2195.97835372489,4082.07789396673,4107.41943564704,4343.83365573019,3782.78756387395,3753.35158348829,3540.12848642299,2822.83361343024,2668.45292231662,3703.98602854358,3981.28991411864,4247.71983519264,3196.85774953138,2712.96845720877,2741.87918939866,2953.44583477695,3363.28842209872,1702.94477783541,1917.44454830268,2335.52649044445,2433.29852643077,2691.46518722905,3177.56881138599,3187.28823081033,3177.50390461302,3234.8792512493,8541.09259370095
"3","Energy",3225.14943809081,3266.17471109279,3154.45979478855,3220.88361247523,3141.98708364702,1138.71868452667,1027.20651020067,851.977965399288,1418.17802853854,1480.36237919616,1681.24258302329,2056.58242395322,2611.78752112519,2755.08167215367,3093.30086910746,2408.32884916568,2558.05791586207,2496.17705814137,2200.43110876742,1886.7500633729,2081.01503576684,2425.20131988935,2163.93753079238,2081.47228932966,1792.09287241383,1687.91614769917,9057.54810699427
"4","Financials",7048.52096587677,4008.64212186616,4464.65113507338,4384.32270462928,3845.43928164007,3655.11560627514,3665.76793956562,3290.18901812863,2827.64025573052,4027.52365092814,5714.37221664059,5055.15228112771,6174.79352498481,8398.33985694662,6593.29989418683,5648.59154801548,6118.70263803022,7194.43300902302,6321.73449225341,6883.10345796013,5718.75765984366,3457.94515876664,4325.0451890857,3875.30573715372,3642.61129480215,3128.71723794337,9956.02385102271
"5","Health Care",4692.99764527502,4525.61586393436,4993.86930519049,4928.54661737723,4856.71707579741,4716.44396599026,4397.24487236738,3315.90348597432,2542.42605446011,2335.2262791693,1943.77567705784,1464.93398324325,1377.26511182217,1433.836612333,1156.39728886746,1139.32655284777,893.616255727397,1022.21662980586,1092.45846317502,1066.30395669553,1036.72626675502,1217.00862321435,1229.5449466108,1252.9941884726,1112.04972805234,1017.80025132719,6342.60120096366
"6","Industrials",3956.88471969846,3740.97746196219,3540.08693394294,3285.88537435838,2179.52346396756,2104.51080752546,2021.54726300819,1674.24078165083,1307.70691718063,1053.66012581858,644.07828791491,661.914485441622,661.303749799753,646.67841202422,576.101031291262,570.931214983307,592.606733373371,537.820167800781,455.426258531777,446.155228944726,435.622953790594,391.897272208326,470.813482612789,542.152689374835,473.324127662344,477.132948662062,4227.89782881029
"7","Information Technology",8429.38009796481,8594.70960414564,7990.02017780028,7004.50750617706,5808.85561472239,5945.18433391688,5735.7778948597,647.64954958201,488.614609283042,557.676485836827,611.837483335106,668.642400124141,538.423231539487,407.918703661934,606.196673816468,489.840324448711,843.297317149479,706.916013054441,756.080200374393,791.515043298322,802.192972327129,704.893027355537,857.836038982962,1019.86401632632,888.849237828825,817.281029794117,8106.69857834741
"8","Materials",1136.13628313262,1168.52742411158,1058.22743496829,1055.21108213446,1054.20234354719,1007.0581129161,951.947279127981,874.45390962271,1375.04243830131,833.554160805105,1802.20563257992,1068.31968662369,936.872329952266,837.085664728107,1030.59539104156,1200.72065425575,1028.77419856362,1109.24317448576,1541.81493082543,1403.44105100647,1456.84240324823,1414.61692527753,1388.58592034509,1502.41151779592,1345.73116422832,1174.1249400346,4580.32574821692
"9","Telecommunications",5530.85605032041,3266.08198680256,9878.24001226562,8183.48855443363,7660.6584460179,7566.12632331467,7198.38064933392,7356.11525439808,7142.69410537161,5113.37118793599,6247.93769679988,3931.3099226966,4296.15649187335,4187.97432207074,4039.40386632075,3939.80873456795,3822.67913511686,3900.57914386671,3941.76632021254,3967.20011410522,4034.88763773368,4086.3366034059,4015.97968247664,3914.88696366972,3751.98853517337,3712.0450415001,10000
"10","Utilities",4441.93759205036,4609.90990167646,4719.00028582234,4595.59115551355,4605.70855805306,4696.76917618358,3188.98591161024,2550.78110906097,1932.11571576045,2090.95067629966,2499.32538918762,2967.29354095399,3075.78472893611,3493.0276611269,3034.02265687443,2605.10666295336,2201.33540561589,2198.22363493097,1833.11355518128,1880.22802625764,2198.62582859548,2254.17166766827,2225.38833844052,2168.6602097114,1611.32130469679,1856.64667111823,5053.19484409385
