ASX Code,Company Name,Status,GICS Sector,GICS Industry Group,GICS Industry
AMM,Amcom Telecommunications Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
AYS,Amaysim Australia Limited,Trading,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
BBB,B Digital Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
BGL,Bigair Group Limited,Trading,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
BRO,Broad Investments Limited,Suspended,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
CAG,Cape Range Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
CEH,China Education Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
CNU,Chorus Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
CVA,Clever Communications Australia Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
DIR,Direct Nickel Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
EFT,Eftel Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
ENC,Enice Holding Company Limited,Trading,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
ENG,Engin Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
FRE,Freshtel Holdings Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
FRX,Flexiroam Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
FUL,Fulcrum Equity Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
HTA,Hutchison Telecommunications (Australia) Limited,Trading,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
IAB,Inabox Group Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
IIN,iiNET Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
IPW,IPWorld Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
IPX,Intrapower Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
MAQ,Macquarie Telecom Group Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
MIH,MNC Media Investment Ltd ,Trading,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
MNF,MNF Group Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
MTU,M2 Group Ltd ,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
NBS,Nexbis Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
NCA,Neighborhood Cable Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
NWL,New Tel Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
NWT,Newsat Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
OTL,Orion Telecommunications Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
PEO,People Telecom Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
PWK,Pipe Networks Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
PWT,PowerTel Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
REF,Reverse Corp Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SDA,Speedcast International Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SGT,Singapore Telecommunications Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SLC,Superloop Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
SPK,Spark New Zealand Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
ST1,Spirit Telecom Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
TLS,Telstra Corporation Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
TPC,TPC Consolidated Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
TPM,TPG Telecom Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
UEC,Uecomm Limited,Delisted,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
UNW,Unwired Group Limited,Delisted,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
VOC,Vocus Communications Limited,Trading,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services
ZIP,ZipTel Limited,Trading,Telecommunication Services,Telecommunication Services,Wireless Telecommunication Services
