ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1AG,Alterra Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,-17.39%,-55.93%,6.40%,10.16%,28.02%,-39.17%,5.08%,-0.69%, 
1AG,Alterra Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , ,--,"16,671.00","13,234,268.00","6,883,007.00","15,769,044.00","161,216.00","228,301.00","665,888.00", 
1AG,Alterra Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , ,"-1,129,932.00","-2,367,675.00","317,330.00","854,762.00","4,191,609.00","-72,638.00","-1,845,978.00","91,210.00", 
1AG,Alterra Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , ,"6,499,088.00","4,233,594.00","4,958,832.00","8,413,645.00","14,959,775.00","14,282,080.00","12,440,085.00","12,192,218.00", 
1AG,Alterra Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"6,847,365.00","4,969,854.00","8,940,993.00","15,881,026.00","25,466,215.00","20,275,568.00","16,770,243.00","14,755,556.00", 
AEI,Aeris Environmental Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , ,-2.99%,-15.76%,-33.48%,-12.95%,-3.77%,-16.38%,-53.35%,-155.75%,-99.90%,-166.14%,661.18%,136.94%,53.87%,113.85%,50.76%,-33.18%, 
AEI,Aeris Environmental Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , ,196.00,--,0.00,"229,767.00","1,698,003.00","214,561.00","780,201.00","1,403,315.00","1,998,398.00","1,764,796.00","937,397.00","947,736.00","757,066.00","549,065.00","487,121.00","800,886.00", 
AEI,Aeris Environmental Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , ,"-73,121.00","-375,045.00","-596,692.00","-825,333.00","-289,973.00","-2,486,338.00","-3,525,800.00","-4,091,716.00","-3,652,912.00","-2,579,184.00","-2,065,853.00","-2,140,916.00","-1,297,924.00","-1,132,159.00","-1,067,893.00","-2,016,912.00", 
AEI,Aeris Environmental Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"2,443,001.00","2,378,977.00","1,782,285.00","6,374,821.00","7,700,500.00","15,181,089.00","6,609,109.00","2,561,000.00","3,041,785.00","696,184.00","-1,120,798.00","-1,570,063.00","-2,168,737.00","-1,040,539.00","-2,103,879.00","6,036,863.00", 
AEI,Aeris Environmental Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"2,463,305.00","2,400,048.00","1,902,552.00","6,504,973.00","8,211,132.00","15,568,338.00","7,138,458.00","3,301,819.00","3,682,651.00","1,449,194.00","1,998,124.00","1,604,200.00","700,374.00","343,344.00","391,999.00","8,967,826.00", 
ALQ,ALS Limited,Annual Ratio Analysis - ROE,9.70%,10.75%,10.80%,9.95%,13.63%,14.68%,10.84%,14.52%,13.11%,12.90%,13.64%,13.63%,8.81%,9.42%,10.87%,14.34%,13.40%,14.64%,21.00%,25.78%,11.98%,16.04%,24.05%,23.31%,12.21%,10.23%,7.16%
ALQ,ALS Limited,Annual Profit and Loss - Operating Revenue,"60,700,000.00","66,600,000.00","71,300,000.00","72,291,000.00","84,596,000.00","97,133,000.00","113,369,000.00","137,599,008.00","174,920,000.00","198,755,008.00","210,692,000.00","319,146,000.00","350,411,000.00","231,624,000.00","390,820,000.00","435,774,000.00","522,950,000.00","636,571,000.00","761,823,000.00","922,294,000.00","825,533,000.00","1,108,329,000.00","1,405,609,000.00","1,455,600,000.00","1,503,400,000.00","1,422,200,000.00","1,364,900,000.00"
ALQ,ALS Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"1,802,000.00","2,105,000.00","2,228,000.00","2,802,000.00","4,174,000.00","4,799,000.00","4,352,000.00","7,438,000.00","10,055,000.00","10,647,000.00","12,265,000.00","16,619,000.00","11,289,000.00","11,535,000.00","14,606,000.00","22,365,000.00","34,893,000.00","59,018,000.00","77,204,000.00","106,191,000.00","74,891,000.00","132,290,000.00","224,687,000.00","230,500,000.00","156,600,000.00","-172,700,000.00","-239,700,000.00"
ALQ,ALS Limited,Annual Balance Sheet - Total Equity,"18,578,000.00","19,574,000.00","20,635,000.00","28,173,000.00","30,492,000.00","33,922,000.00","46,534,000.00","51,413,000.00","76,721,000.00","82,404,000.00","88,609,000.00","100,541,000.00","127,841,000.00","126,491,000.00","135,746,000.00","151,095,000.00","256,652,000.00","299,547,000.00","338,205,000.00","413,068,000.00","629,744,000.00","825,520,000.00","930,204,000.00","997,100,000.00","1,419,400,000.00","1,228,400,000.00","1,185,600,000.00"
ALQ,ALS Limited,Annual Balance Sheet - Total Assets,"38,089,000.00","38,471,000.00","39,315,000.00","45,687,000.00","50,141,000.00","70,015,000.00","75,349,000.00","121,769,000.00","127,224,000.00","139,472,000.00","189,569,000.00","240,484,000.00","271,074,000.00","272,869,000.00","284,345,000.00","302,908,000.00","461,034,000.00","515,929,000.00","677,669,000.00","805,088,000.00","955,085,000.00","1,171,947,000.00","1,635,714,000.00","1,734,700,000.00","2,537,300,000.00","2,406,900,000.00","2,144,900,000.00"
AMB,Ambition Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , ,-97.29%,-16.86%,-58.15%,-19.50%,-37.33%,24.15%,19.03%,23.41%,20.83%,-158.91%,-8.87%,18.04%,10.42%,0.57%,-12.35%,6.06%,8.44%, 
AMB,Ambition Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , ,"556,710.00","16,758,072.00","19,483,147.00","18,200,290.00","16,845,567.00","24,203,888.00","43,762,817.00","58,934,141.00","79,016,000.00","128,949,000.00","86,843,000.00","97,927,000.00","95,288,000.00","87,427,000.00","82,930,000.00","89,487,000.00","107,243,000.00", 
AMB,Ambition Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , ,"-1,372,797.00","-1,392,900.00","-5,949,934.00","-373,894.00","-539,583.00","560,260.00","1,807,722.00","3,673,578.00","4,046,000.00","-24,528,000.00","-7,581,000.00","1,910,000.00","1,316,000.00","69,000.00","-1,434,000.00","-144,000.00","1,006,000.00", 
AMB,Ambition Group Limited,Annual Balance Sheet - Total Equity, , , , , , , , , ,"4,233,323.00","8,260,405.00","4,852,306.00","1,917,608.00","1,445,512.00","2,319,821.00","9,501,051.00","15,693,423.00","19,420,000.00","15,435,000.00","8,688,000.00","10,694,000.00","12,626,000.00","12,130,000.00","11,503,000.00","11,728,000.00","13,204,000.00", 
AMB,Ambition Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , ,"4,461,414.00","9,977,930.00","6,535,746.00","5,841,928.00","5,272,898.00","7,872,891.00","22,571,818.00","27,940,839.00","31,264,000.00","31,603,000.00","17,638,000.00","21,830,000.00","22,759,000.00","19,973,000.00","19,418,000.00","21,438,000.00","27,660,000.00", 
AMV,Alamain Investments Limited,Annual Ratio Analysis - ROE,-8.91%,4.70%,1.94%,10.57%,-48.49%,-98.86%,0.25%,0.32%,0.09%,4.05%,-1.06%,-15.20%,-7.17%,-15.73%, , , , , , , , , , , , , 
AMV,Alamain Investments Limited,Annual Profit and Loss - Operating Revenue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,090,918.00","9,883,984.00",0.00,"20,884.00",0.00,0.00, , , , , , , , , , , , , 
AMV,Alamain Investments Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-150,000.00","83,000.00","35,000.00","213,000.00","-790,000.00","-609,000.00","-36,325.00","71,786.00","258,946.00","709,449.00","-569,406.00","-456,381.00","-339,068.00","-483,429.00", , , , , , , , , , , , , 
AMV,Alamain Investments Limited,Annual Balance Sheet - Total Equity,"1,684,000.00","1,767,000.00","1,802,000.00","2,015,000.00","1,225,000.00","616,000.00","5,161,534.00","5,448,595.00","6,954,075.00","7,021,499.00","7,077,067.00","9,841,415.00","5,958,699.00","4,845,616.00", , , , , , , , , , , , , 
AMV,Alamain Investments Limited,Annual Balance Sheet - Total Assets,"1,700,000.00","1,798,000.00","1,850,000.00","2,369,000.00","1,329,000.00","719,000.00","11,017,573.00","13,202,383.00","19,344,116.00","18,262,371.00","18,339,161.00","21,045,480.00","14,487,681.00","14,308,026.00", , , , , , , , , , , , , 
ANQ,AnaeCo Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,-114.51%,-144.37%,-331.70%,337.16%,134.17%,-56.10%,-337.96%,140.30%, 
ANQ,AnaeCo Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , ,"1,551,440.00","326,906.00","37,503.00","149,823.00","122,323.00","50,000.00",0.00,0.00, 
ANQ,AnaeCo Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , ,"-5,110,804.00","-6,506,321.00","-7,097,258.00","-11,824,250.00","-20,062,895.00","-3,979,403.00","-5,643,155.00","-7,807,993.00", 
ANQ,AnaeCo Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , ,"3,473,389.00","4,506,599.00","2,139,641.00","-3,507,056.00","-14,953,353.00","7,093,451.00","1,669,756.00","-5,565,299.00", 
ANQ,AnaeCo Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"6,136,512.00","8,841,129.00","6,860,188.00","4,601,894.00","6,971,002.00","19,056,627.00","11,023,736.00","9,167,300.00", 
ARA,Ariadne Australia Limited,Annual Ratio Analysis - ROE,-45.82%,-23.37%,66.65%,18.68%,9.18%,-45.94%,-41.00%,88.19%,-8.13%,3.72%,5.54%,-12.17%,5.29%,7.33%,8.64%,--,10.14%,9.98%,18.47%,-15.81%,8.32%,11.38%,7.02%,4.49%,8.27%,-4.54%, 
ARA,Ariadne Australia Limited,Annual Profit and Loss - Operating Revenue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
ARA,Ariadne Australia Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-67,166,000.00","-19,034,000.00","-102,648,000.00","-24,279,000.00","-13,060,000.00","15,732,000.00","9,626,000.00","20,511,000.00","13,776,000.00","1,038,000.00","3,185,000.00","-6,241,000.00","2,864,000.00","4,139,000.00","5,160,000.00",0.00,"7,126,000.00","8,338,000.00","15,118,000.00","-9,760,000.00","5,636,000.00","8,067,000.00","5,599,000.00","3,821,000.00","7,248,000.00","-2,481,000.00", 
ARA,Ariadne Australia Limited,Annual Balance Sheet - Total Equity,"97,836,008.00","78,626,024.00","-24,022,040.00","-48,278,008.00","-61,337,976.00","-25,022,008.00","-15,395,992.00","5,114,984.00","18,890,984.00","27,929,000.00","57,512,000.00","51,271,000.00","54,161,000.00","56,481,000.00","59,707,000.00",--,"70,249,000.00","83,523,000.00","91,998,000.00","61,752,000.00","67,738,000.00","70,872,000.00","76,703,000.00","79,735,000.00","88,397,000.00","85,271,000.00", 
ARA,Ariadne Australia Limited,Annual Balance Sheet - Total Assets,"342,705,000.00","283,888,000.00","118,083,000.00","78,351,000.00","36,641,000.00","35,074,000.00","28,033,000.00","22,373,000.00","45,881,000.00","69,479,000.00","110,124,000.00","163,053,000.00","108,625,000.00","93,407,000.00","103,853,000.00","37,456,000.00","103,693,000.00","168,101,000.00","141,170,000.00","69,685,000.00","71,831,000.00","75,803,000.00","86,850,000.00","88,592,000.00","93,009,000.00","90,169,000.00", 
ASH,Ashley Services Group Limited,Annual Ratio Analysis - ROE,13.67%,11.05%,11.39%,14.91%,9.55%,5.68%,6.11%,4.01%,4.43%,6.48%, , , , , , , , , , , , , ,0.00%, ,8.86%, 
ASH,Ashley Services Group Limited,Annual Profit and Loss - Operating Revenue,"226,210,000.00","250,627,000.00","287,096,000.00","211,231,000.00","186,450,000.00","190,407,000.00","181,497,000.00","175,476,992.00","216,632,992.00","245,994,000.00", , , , , , , , , , , , , ,--, ,"304,700,000.00", 
ASH,Ashley Services Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"30,959,000.00","20,740,000.00","35,221,000.00","33,390,000.00","28,273,000.00","14,168,000.00","18,637,000.00","-65,667,000.00","10,544,000.00","-48,607,000.00", , , , , , , , , , , , , ,0.00, ,"13,676,000.00", 
ASH,Ashley Services Group Limited,Annual Balance Sheet - Total Equity,"324,620,000.00","299,838,000.00","312,770,000.00","335,892,000.00","339,739,000.00","339,219,000.00","340,851,000.00","263,611,992.00","335,039,992.00","271,193,000.00", , , , , , , , , , , , , ,"88,000,000.00", ,"102,876,000.00", 
ASH,Ashley Services Group Limited,Annual Balance Sheet - Total Assets,"619,588,000.00","640,426,000.00","678,868,000.00","683,442,000.00","670,397,000.00","671,714,000.00","666,720,000.00","548,493,000.00","603,439,000.00","548,747,000.00", , , , , , , , , , , , , ,"141,400,000.00", ,"138,369,000.00", 
AUD,Ausdoc Group Limited,Annual Ratio Analysis - ROE, ,-0.69%,5.04%,35.93%,18.97%,17.14%,22.64%,17.51%,14.43%,9.85%,9.97%,6.07%,16.69%, , , , , , , , , , , , , , 
AUD,Ausdoc Group Limited,Annual Profit and Loss - Operating Revenue, ,"22,141,000.00","25,030,000.00","51,382,000.00","65,713,000.00","83,495,000.00","109,121,000.00","100,909,000.00","230,827,008.00","329,359,000.00","367,646,000.00","378,205,000.00","386,020,000.00", , , , , , , , , , , , , , 
AUD,Ausdoc Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, ,"47,000.00","-1,263,000.00","3,705,000.00","4,960,000.00","5,038,000.00","6,465,000.00","5,536,000.00","11,647,000.00","12,098,000.00","176,000.00","-7,491,000.00","-41,158,000.00", , , , , , , , , , , , , , 
AUD,Ausdoc Group Limited,Annual Balance Sheet - Total Equity, ,"-5,744,000.00","7,034,000.00","10,174,000.00","27,955,000.00","27,994,000.00","26,651,000.00","37,279,000.00","99,215,000.00","127,299,000.00","113,553,000.00","124,048,000.00","36,800,000.00", , , , , , , , , , , , , , 
AUD,Ausdoc Group Limited,Annual Balance Sheet - Total Assets, ,"31,310,000.00","50,396,000.00","40,707,000.00","54,611,000.00","75,662,000.00","93,367,000.00","86,436,000.00","252,355,000.00","286,785,000.00","311,369,000.00","296,935,000.00","227,720,000.00", , , , , , , , , , , , , , 
AWN,Arowana International Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , ,47.36%,51.06%,32.03%,2.63%,-132.90%,-817.57%,124.39%,"10,506.24%", ,25.72%,4.12%,-24.74%,-7.89%, 
