ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AAI,Alcoa Inc.,Annual Balance Sheet - Total Equity,"23,350,180,505.00","23,358,793,576.00","19,816,319,321.00","17,886,666,666.00","18,981,039,597.00","27,377,987,069.00","20,764,564,640.00","20,957,350,272.00","20,687,066,974.00","17,348,645,333.00","16,811,964,970.00","16,930,878,298.00","15,911,979,969.00","15,111,756,817.00","18,037,064,130.00","19,341,637,010.00"
AAI,Alcoa Inc.,Annual Profit and Loss - Total Revenue Excluding Int,"75,232,311,120.00","44,768,899,334.00","35,856,587,778.00","29,088,000,000.00","39,504,893,517.00","49,365,085,383.00","38,522,684,190.00","36,977,087,114.00","38,778,868,360.00","20,733,638,086.00","20,687,789,038.00","24,674,084,285.00","23,150,038,520.00","25,829,235,583.00","29,203,852,718.00","30,971,803,996.00"
AAI,Alcoa Inc.,Annual Profit and Loss - EBITDA,"8,025,270,758.00","5,048,962,005.00","4,500,176,616.00","2,481,333,333.00","3,072,359,086.00","4,096,109,478.00","4,709,970,933.00","5,629,537,205.00","3,009,526,558.00","-901,995,763.00","2,637,016,628.00","1,819,614,021.00","2,243,836,671.00","2,858,739,383.00","4,255,059,741.00","4,386,805,365.00"
AAI,Alcoa Inc.,Annual Profit and Loss - EBIT,"5,846,570,397.00","5,048,962,005.00","2,543,270,929.00","2,481,333,333.00","3,072,359,086.00","4,096,109,478.00","4,709,970,933.00","5,629,537,205.00","3,009,526,558.00","-901,995,763.00","1,210,272,557.00","1,819,614,021.00","837,827,426.00","1,270,675,011.00","2,583,516,215.00","2,634,820,695.00"
AAI,Alcoa Inc.,Annual Profit and Loss - Reported NPAT After Abnorma,"3,375,451,263.00","2,185,663,924.00","980,219,003.00","1,558,666,666.00","2,005,675,222.00","2,771,607,864.00","3,391,886,768.00","3,322,368,421.00","212,182,448.00","-1,215,297,134.00","385,712,880.00","792,634,895.00","156,009,244.00","-2,507,822,977.00","215,801,024.00","-269,641,390.00"
AAI,Alcoa Inc.,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AAI,Alcoa Inc.,Annual Ratio Analysis - Net Profit Margin,3.58%,5.53%,3.18%,4.18%,4.27%,4.70%,7.11%,8.79%,4.34%,-4.07%,2.22%,3.58%,1.16%,0.99%,4.86%,1.97%
AAI,Alcoa Inc.,Annual Ratio Analysis - ROE,12.99%,11.90%,6.50%,7.54%,9.83%,9.19%,14.76%,16.87%,9.94%,-6.02%,3.43%,6.45%,2.09%,2.15%,9.44%,3.69%
AAI,Alcoa Inc.,Annual Ratio Analysis - Market Cap.($),"46,411,053,000.00","54,701,239,113.29","56,602,903,954.00","44,293,024,986.00","34,360,164,274.35","37,421,546,059.00","37,312,800,392.00","40,956,389,100.00","36,814,598,928.00","43,739,865,229.80","14,819,376,492.50","11,708,532,726.00","8,484,335,026.35","11,459,819,433.40","24,576,605,952.20","15,852,937,706.10"
AAJ,Aruma Resources Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"4,769,946.00","3,341,989.00","2,785,491.00","3,386,315.00","2,696,590.00","1,009,921.00"
