"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary",34401804016,32579636008,37034453852,38518977418,39009680615,46236247069,50154866047,65771134823,84205081029,88259416460,105123992817,129215802275,117663743202,152619052314,131393124958,140236951942,151563477908,178056948649,153209070917,140588300973,142633391614,137327880539,132678447958,153241283916,102249756695,112967327678,1171610701
"2","Consumer Staples",28445366008,76014900056,105678431632,111110084480,105194214896,113019441675,111577144738,101568405723,113906628479,150689823740,206616183372,236191376109,238504022861,204432545135,211399977481,236747953506,260845118665,99320899139,127589701942,109112944218,107772416226,97458628183,103090685346,93722130996,91644894328,96038942079,5283548000
"3","Energy",11021718867,10872145785,11822889760,12277117281,12238383584,11745277228,13285614059,24691619212,20643689076,25519946421,26844425552,29885562645,27010224487,27516491309,31626122168,42150501660,49980534978,66301469002,77587208019,100198668547,102654115762,112424615057,128411937907,144412631085,147528064142,151424795675,1357399443
"4","Financials",344519165336,443421467942,467978421830,485393093526,493938883012,566600134811,645095982068,831174693587,979650119832,1027163954000,1358346225624,1476070762030,1510923904661,1588787334604,1798284116137,1888764577933,2281588777984,2745692031019,3081012285211,3137665501701,3251055028980,3467999911154,3577475822024,3772549639434,4065828791627,4624846149895,308080184949
"5","Health Care",6612318000,6918689000,8690420000,9793478000,10614522000,11620974000,10968232879,11770432745,12411271292,13247327595,15907167917,16844690658,18250846792,17711559645,20158385816,25799142738,27644002813,25119007931,30142193593,33531565274,33290948917,27929973757,28976843818,37004671097,42357563099,54566352117,2014035629
"6","Industrials",19213152817,20243524164,23418000616,25085449273,32316752925,37094053438,38117861638,45164948161,56248690701,62280501319,66325987740,72265453926,84260475300,88222253374,97621219592,105822532914,131092576075,144498307959,154670543149,159394332010,157922712548,159587788202,163169205754,167245182447,168929687095,170489100515,3933607027
"7","Information Technology",4319409024,4361356968,3622816992,3548486947,3797164203,4251783734,4120244141,1899700109,2621888512,4386707481,7714331500,7912016527,7252575629,6935230539,7305328235,8137999303,9550557062,8952612507,8320267338,9013661753,9473984330,8919291156,9582722439,10288164209,14348351414,16602214696,464935032
"8","Materials",86920827498,92066429501,96108603335,99620631781,105432807657,136257224838,132291432742,170271759266,202256865190,198489208365,247234871684,301161629364,282734984647,250510975345,260883514856,295070577820,309273260052,381519375961,444263909627,399265834292,409394595661,429381436422,465344551840,494012927861,536151157359,545840198545,5938054013
"9","Telecommunications",89872000,85569000,3563240124,7242140775,24960822082,27880913696,28626622036,29719247885,31314109681,45412778910,47272675475,82055496334,85230910425,77316018452,75381165745,74888702632,74295821784,76121769658,75655089454,80872868414,78247198264,78770915078,79979510818,79847315529,85075042951,92544548496,25621728
"10","Utilities",3759269000,3757871000,3523540000,3385237000,3467797000,3517285000,4001700258,5853219171,10996614005,15659207436,20624830109,24289281815,21952575287,21128541236,27959574690,41174020431,61341944476,58540993282,75398717552,76618689735,62289790095,56152726447,60548509974,77021041511,81361972304,88670054190,17646360360
