"","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","industry"
"1",1,519110000,575762000,721342000,834160000,894286000,919913000,863378159,778137543,730845959,673275919,728460334,707345947,801445625,840996208,928972597,619380199,656592045,518034910,253509495,203671900,232097729,253996110,269804761,302670027,329048748,371438300,NA,"Consumer Discretionary: Automobiles & Components"
"2",2,282347000,226188000,388599352,411461410,442825240,606711075,665223086,839539507,1071710927,1166350795,1429934030,2615677966,2903721445,2948145791,3477790697,4136203056,4718026430,4930846158,4429982457,4596969849,4777080719,4211222551,3819919809,2607701540,2233855389,2754539047,321599000,"Consumer Discretionary: Consumer Durables & Apparel"
"3",3,266514000,253361000,251072000,249427000,265816000,1079766000,1250557540,1329516946,1414788950,1437318782,2181745379,2869446494,2961930830,2528003704,3722392062,6064666243,5808264160,14199405157,12137668268,12069303105,14587197415,13178544266,14796523463,16480975306,18817440615,21696016233,338865082,"Consumer Discretionary: Consumer Services"
"4",4,12525997000,10845830000,13876266000,15303647000,17258766000,20714504000,22200127267,28415428500,34818658409,36964522690,43986365946,59199142243,51181479969,70252627218,58705457209,53893527787,54748344600,59015672817,43832934516,41813086754,43260503490,42433865930,36368202895,48524350087,27862666328,27462830936,NA,"Consumer Discretionary: Media"
"5",5,806754000,689460000,689071000,599302000,679933008,783846000,1423049336,2112252220,2272513071,2782833162,2788085400,2696186568,3210916862,3555802505,5323517086,5592986722,5855583695,6911715194,7156325009,8620075975,9359673248,9158661341,9777063133,11192035909,11244703129,11888514949,210062243,"Consumer Discretionary: Retailing"
"6",6,2693792000,3003550000,4578908000,4841283000,5726888000,5081423000,5629151576,5757914153,6317330238,6573095459,7629217994,8358562759,10923580982,12149728252,12801658344,13458388827,14062334270,16100950985,29359729565,33501779284,35174637102,34626365488,35411535030,36951651425,38110891418,37074659698,1369100000,"Consumer Staples: Food & Staples Retailing"
"7",7,7986433000,20996385616,26595375672,28028239544,28275718644,31515109504,31288484742,30440514819,35490353957,42337040935,46910898840,59130129872,59386851702,60519318174,68761662717,77605238978,92276868922,22610097638,25249918537,17392603332,20825239335,15330897945,17030131002,10901843890,11034301333,13422190006,1117395000,"Consumer Staples: Food, Beverage & Tobacco"
"8",8,11762000,13679000,17480000,19525000,22164000,31886000,33494649,34295409,35625663,43970866,41733705,72422172,75687000,60777000,73593134,82109234,85157817,96396345,120948738,135136053,159567000,190610000,134578678,629694297,566603392,762907204,NA,"Consumer Staples: Household & Personal Products"
"9",9,5314483879,5074436908,5371580872,6002263999,6472959991,6568645670,7803440055,12881766895,10247889506,12319265955,13686495308,15068093459,14718613506,15584625298,18948663196,23786387023,27139197044,37392781039,43467626230,60804460927,63810945264,68613550384,74523157224,79363155842,81993986710,78795998993,590732901,"Energy"
"10",10,18702608000,26743470000,26465808000,28857135000,30667826000,33597993000,37946244568,38961203621,44633211400,48987386339,63770429079,69557292232,72748729855,83316260092,96299685588,105286925203,93933294391,105546510992,118231141988,144069101190,155981022204,168549246966,180710424280,195423551847,207795928955,231557783880,NA,"Financials: Banks"
"11",11,5555299310,5567466134,7034598594,7270017682,8336523062,8605621776,8766666761,25904469273,30216124585,26502715821,30143442356,29840084454,32000373360,27479793483,33565412853,32045421066,34613147971,45942548455,43537268762,36617303833,42720313024,48727431606,47632397558,50710268313,57422186750,232390638619,125022719417,"Financials: Diversified Financials"
"12",12,481600000,534189000,661325000,1074116000,1209645000,1340993000,1654317992,8292593072,11804982269,11668382554,11063037904,14705023469,15026796370,18311118176,21223484923,22035736402,22297280834,31044719972,32900061366,34555947076,35386596434,30170783071,31393844736,32041290305,37621117990,38915231397,NA,"Financials: Insurance"
"13",13,9921290000,10003034992,10678037000,11288648992,14265185000,15856508584,19675597748,23920980819,32042994875,36740345473,42193026861,47077180021,55114401845,59826573614,71055469744,79877464468,93376248849,116716877666,106148295920,86541125082,82310940268,97516779077,93143988365,96507787176,97989493428,110481238416,93197682,"Financials: Real Estate"
"14",14,2108698000,2239656000,3372426000,3518299000,3866376000,3754452000,3282525736,3670871413,4240108662,4916941838,5711667617,6166646453,8593207425,8345683853,8360599685,9260862774,10313692633,9477020520,10953479675,12387099554,13545673518,11591143369,11732758548,15455331085,16934248891,20238907983,1099334017,"Health Care: Health Care Equipment & Services"
"15",15,259649992,145158016,209742000,411994000,695257000,833997000,939540616,1102089801,1045618243,1034382293,1955231838,1980513541,2176245613,2036218879,3193948747,5094871782,5241992882,4234572567,4396476374,6692671765,5540314605,5092324330,4865773765,4781226115,5021553408,5567346597,29435432,"Health Care: Pharmaceuticals, Biotechnology & Life Sciences"
"16",16,1111697519,1122960482,1429006904,1495963523,2479941656,2949396042,3446818150,4065997983,4840773160,6438797519,8225973815,6675110736,7043199676,7646650833,8442578758,10221001644,9936702494,14343718781,15810667534,17597632080,19478496949,19756641900,19439484120,19585368059,19009411100,16485319540,133904504,"Industrials: Capital Goods"
"17",17,2138245008,2207178024,2782921960,2965989992,2807088024,3105287992,3325747309,3525156287,4307575502,4898234810,5394731831,5578873716,6886338363,6772419950,7108337411,7861126722,8948595574,8945043898,9809232335,10459606435,12751014124,13328509315,14525990437,16796977506,18261773389,18975765932,1914734000,"Industrials: Commercial & Professional Services"
"18",18,4852822952,5991381124,5418707288,5970589992,7845097780,8347054560,9351780029,11744305024,14253835646,16059880344,11957465786,13649439016,21425129457,23414281613,29883940145,30916266295,32384936038,34992586680,35600407310,31466722543,38384366659,33274692174,31204879625,33948906371,32727696505,30776107035,NA,"Industrials: Transportation"
"19",19,671061992,496405024,838580984,643960122,1082621748,1188706553,1179552167,510329566,1028821577,1936613836,3227257480,3016639115,3225165630,3008661603,2933734134,2912222341,3421945869,3244642018,2760707811,3137361472,3645168465,3754682308,3721703333,4113233422,6457305300,7287676547,381675618,"Information Technology: Software & Services"
"20",20,161780000,160903000,166271000,197902000,412837560,430886729,495921752,488175142,510105460,735231144,1590898289,1590593671,1051221509,1157179408,1065856595,1378976915,1453747138,1238554540,932416911,913725399,993958785,871738494,815277918,710497684,747472401,751300752,NA,"Information Technology: Technology Hardware & Equipment"
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,11491230,11335482,16290218,52054754,51521063,49004160,39414478,31636275,21584848,63256214,126822251,120013732,122551410,191064123,152722206,152819184,123840185,84643730,NA,"Information Technology: Semiconductors & Semiconductor Equipment"
"22",22,41523929044,41258917764,44503323220,49580101770,55550791736,71766530445,67963199037,86072683231,91288495915,94483616070,104475978281,130318302883,124134071459,118408333734,133473682238,144197856775,152567791875,163726062289,185472803645,205748517079,234094895478,238137594290,244680454135,249564014939,282241127296,274575738787,1234234730,"Materials"
"23",23,72170000,69570000,2014837271,12386717825,12502559280,13461694664,14703018655,11376308028,13148122397,20024343393,21660348515,31636103104,32051488329,32616484870,33853643847,32340836302,31202451571,34829391310,32833226911,36920211877,35986414150,35647485927,33634849626,35854129937,39635996214,43051479829,25445843,"Telecommunications"
