"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary",14984020000,13164580000,16927795352,18443129402,20905907224,25490863051,27752879036,35558257488,42549867390,45202232088,53471849744,70456936318,63068368576,82896674066,74153837214,72205706090,74787127005,89564773329,68507746145,67679493215,72410517304,69291144058,65055546758,79171765024,60637488526,64163995591,595885325
"2","Consumer Staples",10691987000,24013614616,31191763672,32889047544,34024770644,36628418504,36951130967,36232724381,41848615977,48967532497,54607638951,67561114803,70386119684,72729823426,81636914195,91145737039,106424361009,38807444968,54730596840,51029518669,56159443437,50147873433,52576244710,48483189612,49711796143,51259756908,2486495000
"3","Energy",5314483879,5074436908,5371580872,6002263999,6472959991,6568645670,7803440055,12881766895,10247889506,12319265955,13686495308,15068093459,14718613506,15584625298,18948663196,23786387023,27139197044,37392781039,43467626230,60804460927,63810945264,68613550384,74523157224,79363155842,81993986710,78795998993,590732901
"4","Financials",34660797310,42848160126,44839768594,48489917674,54515336062,59971263360,68042827069,97126338725,118743381129,123955636456,147220914200,161251716109,174890301430,188933745365,222144053108,239246868326,244219972045,299250657085,300816768036,301783477181,316398871930,344964240720,352880654939,374755708641,400828727123,613396100312,125115917099
"5","Health Care",2368347992,2384814016,3582168000,3930293000,4561633000,4588449000,4222066352,4772961214,5285726905,5951324131,7666899455,8147159994,10769453038,10381902732,11554548432,14355734556,15555685515,13711593087,15349956049,19079771319,19085988123,16683467699,16598532313,20236557200,21955802299,25826367764,1128769449
"6","Industrials",8102765479,9321519630,9630636152,10432543507,13132127460,14401738594,16124345488,19335459294,23702269594,27696194806,25877647357,26258673039,35354667496,37833352396,45434856314,48998394661,51270234106,58281349359,61220307179,59523961058,70613877732,66359843389,65170354182,70331251936,70035640994,66237192507,2048638504
"7","Information Technology",832841992,657308024,1004851984,841862122,1495459308,1619593282,1675473919,998504708,1550418267,2683180462,4860024090,4659287540,4327908202,4214845171,4039005207,4322835531,4897277855,4546452772,3819946973,4171100603,4761678660,4817484925,4689703457,4976550290,7333111526,8152151962,381675618
"8","Materials",41523929044,41258917764,44503323220,49580101770,55550791736,71766530445,67963199037,86072683231,91288495915,94483616070,104475978281,130318302883,124134071459,118408333734,133473682238,144197856775,152567791875,163726062289,185472803645,205748517079,234094895478,238137594290,244680454135,249564014939,282241127296,274575738787,1234234730
"9","Telecommunications",72170000,69570000,2014837271,12386717825,12502559280,13461694664,14703018655,11376308028,13148122397,20024343393,21660348515,31636103104,32051488329,32616484870,33853643847,32340836302,31202451571,34829391310,32833226911,36920211877,35986414150,35647485927,33634849626,35854129937,39635996214,43051479829,25445843
"10","Utilities",1465527000,1388437000,1601483000,1719172000,1820380000,1966932000,2157573570,2280174249,4913727616,5625746451,8232132199,9198798272,8038116209,8735927753,10521246029,14657095740,20984306036,19596734728,22336218192,23685909496,21789089506,21147449118,21828835914,32347660920,34799756777,36798362502,6323565765
