"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary: Automobiles & Components",16697000,7764000,37226000,41122000,22282000,31540000,-29484461,-102503553,-47412557,-32159614,7351603,-20241366,87200174,147071433,106787184,41349223,48268489,39169237,-258844732,9935372,31118080,29802570,31577529,45833059,39400209,32985258,NA
"2","Consumer Discretionary: Consumer Durables & Apparel",-19169000,-24092000,27615420,-41195910,-11674450,51085360,80567747,83020400,86948522,284058681,103381950,269171699,270042847,290296627,381723482,564199989,432404488,716694156,227889251,170397959,288376339,366316136,71640002,-699678243,-172889393,88045027,-39954000
"3","Consumer Discretionary: Consumer Services",-2296000,-596000,26928000,9989000,22790000,104538000,167030631,174337130,108124585,295680660,297514170,458816435,503204223,285046297,768471373,864473416,1175454737,3263605384,4104673737,-281265912,1321204900,1859675477,1866224703,1788668520,1808679455,1784134001,42421586
"4","Consumer Discretionary: Media",168795000,-330666000,568638000,1187897000,1633016000,1654434000,1343412886,1228071100,2578543100,1790978337,2753589381,-911645948,-11244539437,4204112221,4190743724,4667366548,5118121451,7406386017,12862214945,-3795561558,4449963145,3220222038,-1166007929,8037519430,812036849,-2568331092,NA
"5","Consumer Discretionary: Retailing",28937000,35416000,-43509000,-35331000,8598000,98184000,143112948,141364484,249490252,260535957,180704114,193790361,277015577,322575211,557911815,524988662,729518716,1884952634,1021918355,606152873,1163757012,1003224753,656295631,1365483422,734291805,836140183,20128199
"6","Consumer Staples: Food & Staples Retailing",428345000,414009000,545763000,714508000,790524000,902953000,702340046,592574464,838919157,988593053,1080410734,1111717054,1656541222,1942839477,2571222618,2392645483,3442103268,3042503157,3008637020,3350293425,3782853611,4313202418,4035763339,4736624789,5317640037,4195168280,218200000
"7","Consumer Staples: Food, Beverage & Tobacco",338585000,4627059064,6804410504,5639630632,7128120900,8261371749,8778639365,6517401587,6730563358,13281172868,16679468732,18998944702,22868561781,13712840024,14332505957,17814551700,23477305525,3148249666,697321203,43740521,412498944,583423007,656126405,-151832127,6615404,905410358,72025000
"8","Consumer Staples: Household & Personal Products",1147000,2060000,3472000,3557000,3160000,4204000,4161115,6573573,6836177,5038209,6230425,16522056,16143000,13373628,17409736,22470100,20098079,14013608,25224402,28306329,32390000,32146000,-33404829,25168300,30377269,127226015,NA
"9","Energy",365474840,19798024,181038822,536319247,496996357,311370444,652497556,430910367,397583824,516082190,1682872329,1302999254,536278999,1524683490,2953844077,4586013388,4071029168,3243805581,6620283975,13888837410,3885047024,2087405199,4028488621,1811241868,770569599,-6970497815,48943644
"10","Financials: Banks",1738759000,2491509000,-883302000,2110944000,4211227000,5308666000,5950769713,6015788852,5892388825,7553468600,10009848836,8926885821,11279776589,11318976006,12552143793,15910473936,17401320630,19541241584,15105789730,14207541940,21440710571,24723861217,23183323303,26952706863,29769657507,32093907942,NA
