"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary",236344000,-260868000,698118420,1242792090,1771592550,2111704360,1788365621,1591059797,3125662220,2504677432,3492144520,89367369,-10031406787,5533999689,6178436045,6796425569,7775717521,13584322718,17692254175,-3629791334,7165661662,6392882730,1443733274,10551684857,3180236891,160011717,65316785
"2","Consumer Staples",768077000,5043128064,7353645504,6357695632,7921804900,9168528749,9485140526,7116549624,7577181203,14274804130,17766109891,20127183812,24541246003,15669053129,16921138311,20229667283,26939506872,6204766431,3731182625,3422340275,4227742555,4928771425,4658484915,4609960962,5354632710,5227804653,290225000
"3","Energy",365474840,19798024,181038822,536319247,496996357,311370444,652497556,430910367,397583824,516082190,1682872329,1302999254,536278999,1524683490,2953844077,4586013388,4071029168,3243805581,6620283975,13888837410,3885047024,2087405199,4028488621,1811241868,770569599,-6970497815,48943644
"4","Financials",3090279508,2924379188,-91114092,3318456192,6091089064,7284179774,10568394576,13371634770,12182153800,11271205576,15974502896,12331201236,16011091416,10387939186,23639369998,32474907451,42849166700,49101297117,13513762362,-12317265780,32152111884,40637487656,34069131941,38656010863,51444646351,55967235921,2733712387
"5","Health Care",428409000,193322000,370165000,312897000,404462000,199934000,-125896351,218919657,75971081,605728921,-428222061,131275374,30195745,-370377129,441864168,647294786,694287192,1139380368,827618968,1748767927,1093027552,1347538952,1633109580,2295136561,2541746852,3539103613,111397450
"6","Industrials",719821919,658598160,565883104,1224286408,810782460,1205771842,1369641298,1970225754,2151234749,3066106549,1294230618,-1818166806,1344572978,2872174736,3030709386,5326768925,4452594887,11975809936,7631205235,-2238022606,2887617270,2977485868,4075430532,5091277855,1740179756,1445713387,-326818037
"7","Information Technology",121830000,-160898000,-134403000,-171033635,64054981,8800081,-51878267,-227716182,-141848283,-205915979,-121210009,-1101488363,-1335053881,-589939140,-180940931,122042712,344580237,222906447,156339213,259225721,401703118,272655055,331471960,236467955,312477258,32948771,-97040481
"8","Materials",4577005179,3514783528,1371426768,4281336458,4554534634,6089923902,5323718586,4397166611,2956887769,5005323876,9662041084,7731639260,7381301722,13501759544,18812289537,25076760078,37498191062,33921135326,21630793565,10186283630,35388816316,35823041644,13940372922,110937068,21294307427,-7930802442,104859413
"9","Telecommunications",-6530000,-8852000,278714620,1278019141,2103108881,2185091262,2861872095,1980874464,3620781939,5966930846,5111536346,5641146820,4633027214,4454236524,7753149527,7103047902,5445994791,8850528891,7239232971,8265237671,7464485283,6319063296,7277789725,6972462853,8084412646,8512611022,-4126124
"10","Utilities",92377000,79438000,78974000,128717000,173580000,188247000,252844525,289283602,513921675,563681072,1075334608,234790007,584330850,608051377,1137281859,2157258542,1479748591,847291919,355280109,855268345,-949500913,750275215,891301933,1465174838,2482040955,1702589195,935696396
