"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary: Automobiles & Components",707707000,676560984,751304008,800869984,949381008,1120174008,1003892056,1091867042,1218665496,1654692732,1838387950,2052799149,2391852107,2652482200,2611604625,1726617114,1784238048,1074017663,1062542898,520099860,484577767,513057719,547695549,490926370,531147613,551608637,NA
"2","Consumer Discretionary: Consumer Durables & Apparel",1533051968,1364812976,1368115568,1437934388,1602807616,853078100,984308907,1361997076,1894381900,2077563716,2258231178,3895234237,7382268720,5046107577,6469595252,11335476139,8656305143,8521027032,8568464856,8378663310,8065501228,8270123856,7641388089,6740488724,6616912472,8328233703,690923000
"3","Consumer Discretionary: Consumer Services",712789000,686532000,684632000,692965000,732836000,1423233000,3065805401,3536597842,3888141511,4474654310,5599316877,7234132494,5017300888,4412201845,5333548763,7518629416,9268905547,12356657955,13700023424,14422792608,14648563084,16136590779,17454860398,16591280648,18755011533,21723382772,696322182
"4","Consumer Discretionary: Media",10697432000,12929652000,12580969000,13652973000,14597781000,16028826000,17857542172,20108879975,25874076941,28686343013,31465070646,34354111624,43985241433,55423863606,42154447617,44733768851,49015523497,48175766237,48042676565,48603378423,49397117256,41585211958,43411311970,39748036681,20919771426,22921433035,NA
"5","Consumer Discretionary: Retailing",1868865000,1632748008,1693008992,2178678008,2887098016,3257195032,5087495399,6017341350,6842195883,8001757291,9255055517,10486575392,12678747508,16302225943,15243438688,18068047788,17254167480,19636679250,21500503919,25252072915,24701169359,26771938997,25376638869,26691862503,29208311221,30823211214,202910251
"6","Consumer Staples: Food & Staples Retailing",16649400000,16784294000,26794016000,29569737000,35616489000,39185924008,42466969321,46791264003,49213373877,51729685218,61345316930,64666101155,76062918944,81059886435,87681194946,96439855324,94815462390,102609705249,99690825970,117698378693,120672001486,121391363650,125648615170,131357969740,134527834606,136599419652,13541300000
"7","Consumer Staples: Food, Beverage & Tobacco",23164628968,75456116312,111305327760,110174305272,104977388616,110237451600,109309706626,97861981857,104985060215,152123459102,174459808597,210764659150,184892967038,143121805468,150010416454,166568607594,199553170889,39973456891,40768040500,33606100826,31704129808,30846135839,18387661685,18849970218,18730018249,17483120133,1137167000
"8","Consumer Staples: Household & Personal Products",43700000,50735000,53479000,56984000,60726000,84135000,86446990,153490676,105148664,115261877,131516227,176882662,216087000,183311213,234126000,259801114,261360000,302944170,339519553,349969200,368367000,406841000,427836652,440075005,1092200404,1181765672,NA
"9","Energy",5620894500,5909557962,6373927309,6259855062,6524245344,3609644417,4630070843,6450852220,8808477348,9404696314,16369177583,19565985944,19537688289,21538983272,25578154324,38494456677,39882732122,42139159435,56644230060,48604708202,47870292247,52135174454,61413380464,67473760080,74317218634,63205873942,2389652171
"10","Financials: Banks",114199000,108370000,83902000,21429000,69916000,86271000,41506000,47907000,11545000,26678000,15939011,13401758,44431662,51119164,135866836,125160805,171201632,200080343,205630000,226642000,221550000,243211000,256158000,88714000,296472000,298924000,NA
