"","Industry.Group","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Consumer Discretionary",16159950960,17766136960,17596412568,19355179396,21574247656,24158197156,29926313009,34124246869,41824642772,47315435158,53463127520,61364001524,74803682711,87954951142,74529520516,84994215560,88404239539,91853090288,93303938495,97566454908,97599508473,93495880843,94465394376,90346240097,76653255265,84370254966,994642433
"2","Consumer Staples",39857728968,92291145312,138152822760,139801026272,140654603616,149507510608,151863122937,144806736536,154363314756,203968406197,235936641754,275607642967,261171972982,224365003116,237925737400,263268264032,294629993279,142886106310,140798386023,151654448719,152744498294,152644340489,144464113507,150648014963,154350053259,155264305457,14678467000
"3","Energy",5620894500,5909557962,6373927309,6259855062,6524245344,3609644417,4630070843,6450852220,8808477348,9404696314,16369177583,19565985944,19537688289,21538983272,25578154324,38494456677,39882732122,42139159435,56644230060,48604708202,47870292247,52135174454,61413380464,67473760080,74317218634,63205873942,2389652171
"4","Financials",43659861000,6872330000,6288174000,6516732000,6859680000,7537641000,7659344675,8041461603,8824318203,7458729753,16880089995,15529725324,15889746321,10707459449,10813765614,12242015729,15470222142,16607526990,18217180711,17627222039,13857119443,16562101361,18824866868,20433373730,24058269635,25393603068,4872737875
"5","Health Care",8023316016,8146484992,8968078000,9816772000,10813638008,11519883984,10729075156,11327857375,13398660306,14541872161,15662419521,15410170859,17026278314,17038001937,17580990164,19885440766,22093294128,21369413603,21426512032,25933526863,26633358597,23384199705,24022948985,25870425400,34629774255,43200919555,4515840377
"6","Industrials",20516175864,20277468472,21084513416,22552671312,30228324384,34723473023,38708559478,43038122271,52307731930,57192208477,55440371846,61716197404,71433711477,75988044705,79492012026,83866144551,85011567965,103130101466,114121822013,119810369063,120441935658,122945130670,139228884332,143344351406,132580011846,118383465863,4014546702
"7","Information Technology",4886391808,5218339096,4059445976,3418891875,3767964246,4701629442,5615557654,1954565014,3040342764,4605670670,5897029813,7525141946,7567771997,7099482217,7211311658,8546432849,9535646435,9872984207,8336101220,8913663501,8856061487,8344580675,8341162851,8040471232,8791305659,11055505425,208193561
"8","Materials",57112680809,58481423994,58310710684,64164682001,66144270985,85777495495,79994978353,105466317010,129575644625,127950310782,190415478092,190097453085,169109973014,152965062434,181605101800,211504395569,215869675427,212663192163,279330256351,222537524854,229754988075,255169829371,249011446763,252010606416,272407227121,248464223200,4769936284
"9","Telecommunications",35535000,16365000,1841388916,14076995048,14940091154,16056667380,17868139167,18475459283,20184551405,25687934731,24281097164,35097488220,33670167333,35692678744,37048335921,39653494586,41914948065,42637651165,44465965761,47042810794,44937218549,45323978086,46607309475,46919394044,47754825825,50609847236,6055037
"10","Utilities",1583313000,1761746000,1845796000,1753369000,1612987000,1654357000,2521299581,3023694530,4273691201,5039790587,6802627304,9363273664,7524989927,9372041667,10895766282,11759780434,12822829666,9119221638,15473148661,15558811787,15574388559,16376651661,17615913712,22891618797,27776444868,28031424657,3428197297
